mai 26, 2022 7:30:27 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 210

mai 26, 2022 7:30:30 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 211

mai 26, 2022 7:30:33 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 212

mai 26, 2022 7:30:36 PM LocalSearch.Main main
INFO: Best makespan -156731,70 in Generation 213

mai 26, 2022 7:30:40 PM LocalSearch.Main main
INFO: Best makespan -156724,55 in Generation 214

mai 26, 2022 7:30:43 PM LocalSearch.Main main
INFO: Best makespan -156724,55 in Generation 215

mai 26, 2022 7:30:46 PM LocalSearch.Main main
INFO: Best makespan -156724,55 in Generation 216

mai 26, 2022 7:30:49 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 217

mai 26, 2022 7:30:53 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 218

mai 26, 2022 7:30:56 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 219

mai 26, 2022 7:30:59 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 220

mai 26, 2022 7:31:03 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 221

mai 26, 2022 7:31:07 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 222

mai 26, 2022 7:31:10 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 223

mai 26, 2022 7:31:14 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 224

mai 26, 2022 7:31:17 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 225

mai 26, 2022 7:31:20 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 226

mai 26, 2022 7:31:23 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 227

mai 26, 2022 7:31:26 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 228

mai 26, 2022 7:31:30 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 229

mai 26, 2022 7:31:35 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 230

mai 26, 2022 7:31:39 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 231

mai 26, 2022 7:31:42 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 232

mai 26, 2022 7:31:45 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 233

mai 26, 2022 7:31:47 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 234

mai 26, 2022 7:31:50 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 235

mai 26, 2022 7:31:53 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 236

mai 26, 2022 7:31:56 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 237

mai 26, 2022 7:31:58 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 238

mai 26, 2022 7:32:01 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 239

mai 26, 2022 7:32:04 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 240

mai 26, 2022 7:32:06 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 241

mai 26, 2022 7:32:09 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 242

mai 26, 2022 7:32:11 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 243

mai 26, 2022 7:32:14 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 244

mai 26, 2022 7:32:17 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 245

mai 26, 2022 7:32:19 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 246

mai 26, 2022 7:32:22 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 247

mai 26, 2022 7:32:25 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 248

mai 26, 2022 7:32:27 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 249

mai 26, 2022 7:32:30 PM LocalSearch.Main main
INFO: Best makespan -156714,55 in Generation 250

mai 26, 2022 7:32:33 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 251

mai 26, 2022 7:32:35 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 252

mai 26, 2022 7:32:38 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 253

mai 26, 2022 7:32:40 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 254

mai 26, 2022 7:32:43 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 255

mai 26, 2022 7:32:46 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 256

mai 26, 2022 7:32:48 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 257

mai 26, 2022 7:32:51 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 258

mai 26, 2022 7:32:54 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 259

mai 26, 2022 7:32:57 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 260

mai 26, 2022 7:33:01 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 261

mai 26, 2022 7:33:05 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 262

mai 26, 2022 7:33:09 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 263

mai 26, 2022 7:33:12 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 264

mai 26, 2022 7:33:15 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 265

mai 26, 2022 7:33:18 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 266

mai 26, 2022 7:33:21 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 267

mai 26, 2022 7:33:23 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 268

mai 26, 2022 7:33:26 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 269

mai 26, 2022 7:33:29 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 270

mai 26, 2022 7:33:32 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 271

mai 26, 2022 7:33:34 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 272

mai 26, 2022 7:33:37 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 273

mai 26, 2022 7:33:40 PM LocalSearch.Main main
INFO: Best makespan -156710,48 in Generation 274

